timestamp,Position Value,datetime
1714977000000.0,0.0020012218,2024-05-06 06:30:00
1714977300000.0,0.002004439,2024-05-06 06:35:00
1714977600000.0,0.0020005216,2024-05-06 06:40:00
1714977900000.0,0.001999701,2024-05-06 06:45:00
1714978200000.0,0.0019971866,2024-05-06 06:50:00
1714978500000.0,0.0019981756,2024-05-06 06:55:00
1714978800000.0,0.0019997228,2024-05-06 07:00:00
1714979100000.0,0.0019984525,2024-05-06 07:05:00
1714979400000.0,0.0019918657,2024-05-06 07:10:00
1714979700000.0,0.0019945323,2024-05-06 07:15:00
1714980000000.0,0.0019963617,2024-05-06 07:20:00
1714980300000.0,0.0019968073,2024-05-06 07:25:00
1714980600000.0,0.001996886,2024-05-06 07:30:00
1714980900000.0,0.0020010194,2024-05-06 07:35:00
1714981200000.0,0.0019997833,2024-05-06 07:40:00
1714981500000.0,0.0019993163,2024-05-06 07:45:00
1714981800000.0,0.002000885,2024-05-06 07:50:00
1714982100000.0,0.002004868,2024-05-06 07:55:00
1714982400000.0,0.002004836,2024-05-06 08:00:00
1714982700000.0,0.0020051207,2024-05-06 08:05:00
1714983000000.0,0.0020012702,2024-05-06 08:10:00
1714983300000.0,0.0020181413,2024-05-06 08:15:00
1714983600000.0,0.002018037,2024-05-06 08:20:00
1714983900000.0,0.0020353745,2024-05-06 08:25:00
1714984200000.0,0.0020369836,2024-05-06 08:30:00
1714984500000.0,0.0020341368,2024-05-06 08:35:00
1714984800000.0,0.0020458368,2024-05-06 08:40:00
1714985100000.0,0.0020483714,2024-05-06 08:45:00
1714985400000.0,0.0020356178,2024-05-06 08:50:00
1714985700000.0,0.0020323407,2024-05-06 08:55:00
1714986000000.0,0.002034003,2024-05-06 09:00:00
1714986300000.0,0.0020351498,2024-05-06 09:05:00
1714986600000.0,0.0020395238,2024-05-06 09:10:00
1714986900000.0,0.0020335766,2024-05-06 09:15:00
1714987200000.0,0.002037351,2024-05-06 09:20:00
1714987500000.0,0.0020319617,2024-05-06 09:25:00
1714987800000.0,0.0020324218,2024-05-06 09:30:00
1714988100000.0,0.0020293766,2024-05-06 09:35:00
1714988400000.0,0.0020244198,2024-05-06 09:40:00
1714988700000.0,0.0020290234,2024-05-06 09:45:00
1714989000000.0,0.0020298064,2024-05-06 09:50:00
1714989300000.0,0.0020284394,2024-05-06 09:55:00
1714989600000.0,0.002028018,2024-05-06 10:00:00
1714989900000.0,0.0020307214,2024-05-06 10:05:00
1714990200000.0,0.0020265998,2024-05-06 10:10:00
1714990500000.0,0.00201955,2024-05-06 10:15:00
1714990800000.0,0.0020162791,2024-05-06 10:20:00
1714991100000.0,0.0020122884,2024-05-06 10:25:00
1714991400000.0,0.0020115783,2024-05-06 10:30:00
1714991700000.0,0.0019966732,2024-05-06 10:35:00
1714992000000.0,0.0019851087,2024-05-06 10:40:00
1714992300000.0,0.0019712585,2024-05-06 10:45:00
1714992600000.0,0.0019815874,2024-05-06 10:50:00
