timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
28973438,0.9870161536117038,0.9871990246875954,0.986711368485218,0.9867418469978665,240377.0,28973438,77844.22381,527,145330.0,47062.75758,0
28973439,0.986711368485218,0.986711368485218,0.9854007924413288,0.9861017982322462,951174.0,28973439,307710.26484,1093,763601.0,247022.9537,0
28973440,0.9861017982322462,0.9861017982322462,0.9844864370618714,0.9844864370618714,210615.0,28973440,68067.38442,954,53878.0,17413.13069,0
28973441,0.9844864370618714,0.9849436147516001,0.9843035659859799,0.9844254800365742,232301.0,28973441,75047.46252,722,29231.0,9443.38428,0
28973442,0.9843950015239256,0.9844559585492229,0.983785431270954,0.983785431270954,140424.0,28973442,45340.40349,331,6085.0,1964.96378,0
28973443,0.983785431270954,0.9842426089606827,0.9836330387077111,0.9839378238341969,885039.0,28973443,285715.48721,504,852593.0,275240.93267,0
28973444,0.9839073453215483,0.9840597378847912,0.9833892106065224,0.9835720816824138,694833.0,28973444,224279.64204,599,650887.0,210096.44561,0
28973445,0.9836025601950625,0.9851874428527888,0.9836025601950625,0.9851874428527888,887754.0,28973445,286631.5323,840,818193.0,264170.3601,0
28973446,0.9851874428527888,0.9851874428527888,0.9841206949100884,0.9841511734227371,112344.0,28973446,36291.48105,390,75262.0,24312.18181,0
28973447,0.9841206949100884,0.9841206949100884,0.9830234684547393,0.9830234684547393,1037313.0,28973447,334738.19222,590,874194.0,282103.86393,0
28973448,0.9830234684547393,0.9835720816824138,0.9826272477903079,0.9826577263029563,955215.0,28973448,308119.32402,670,744513.0,240166.2566,0
28973449,0.9826272477903079,0.983785431270954,0.9820176775373362,0.9836330387077111,911931.0,28973449,294040.52322,914,726496.0,234248.6243,0
28973450,0.9836025601950625,0.9839073453215483,0.9828101188661994,0.9833892106065224,1032970.0,28973450,333248.40303,945,704854.0,227397.68664,0
28973451,0.9833587320938738,0.9837244742456568,0.9820786345626333,0.9834806461444682,1189941.0,28973451,383692.77549,1143,970293.0,312864.08212,0
28973452,0.9835111246571167,0.983785431270954,0.9832368180432794,0.9836635172203597,180339.0,28973452,58196.35198,490,78165.0,25221.63735,0
28973453,0.9836330387077111,0.9841511734227371,0.9832977750685767,0.9841206949100884,143628.0,28973453,46350.88554,385,113247.0,36546.84186,0
28973454,0.9841511734227371,0.9849436147516001,0.9841206949100884,0.9849436147516001,176790.0,28973454,57108.21474,587,120214.0,38828.90615,0
28973455,0.9849436147516001,0.9857055775678146,0.9849436147516001,0.9852483998780859,245222.0,28973455,79272.18352,639,67037.0,21670.61144,0
28973456,0.9852483998780859,0.9852788783907346,0.9845169155745199,0.984669308137763,185526.0,28973456,59960.37278,420,55124.0,17815.95314,0
28973457,0.9846388296251143,0.9846388296251143,0.9839987808594941,0.9842730874733313,154654.0,28973457,49948.28745,433,98334.0,31757.92289,0
28973458,0.9842730874733313,0.9842730874733313,0.9837549527583054,0.9839987808594941,71529.0,28973458,23092.07463,316,14380.0,4642.91431,0
28973459,0.9840292593721426,0.9843035659859799,0.9836025601950625,0.9839073453215483,39689.0,28973459,12811.73092,325,13973.0,4510.81817,0
28973460,0.9839378238341969,0.9843950015239256,0.9830234684547393,0.9838768668088996,1045737.0,28973460,337493.34895,834,931941.0,300765.72504,0
28973461,0.983846388296251,0.9844254800365742,0.9836939957330082,0.983785431270954,182926.0,28973461,59061.60392,545,38470.0,12420.27487,0
28973462,0.983785431270954,0.9853093569033832,0.983785431270954,0.9851569643401402,173081.0,28973462,55924.32071,711,70141.0,22657.30521,0
28973463,0.9851264858274916,0.9851264858274916,0.9833892106065224,0.9838768668088996,651468.0,28973463,210320.38258,764,530143.0,171144.70582,0
28973464,0.9838768668088996,0.9852179213654373,0.9836025601950625,0.9836025601950625,963108.0,28973464,311059.58371,1051,230069.0,74302.30243,0
28973465,0.9836330387077111,0.9844864370618714,0.9825967692776593,0.9826272477903079,466891.0,28973465,150715.63824,1063,162347.0,52415.87215,0
28973466,0.9826272477903079,0.9840902163974398,0.9825967692776593,0.9827796403535508,240839.0,28973466,77696.31503,850,88755.0,28633.69824,0
28973467,0.9827796403535508,0.984364523011277,0.9827491618409022,0.9843035659859799,202272.0,28973467,65302.75246,479,47355.0,15285.97956,0
28973468,0.9843340444986285,0.9846388296251143,0.9836330387077111,0.9844559585492229,216450.0,28973468,69888.41615,835,75397.0,24347.88086,0
28973469,0.9844559585492229,0.9855227064919233,0.9840597378847912,0.9853093569033832,232652.0,28973469,75170.88867,638,113082.0,36547.61623,0
28973470,0.9853398354160318,0.9862237122828406,0.9851569643401402,0.9855836635172204,175540.0,28973470,56764.86634,593,79745.0,25784.13153,0
28973471,0.9855836635172204,0.9862541907954891,0.9855836635172204,0.9862237122828406,89472.0,28973471,28945.55645,232,23507.0,7604.9791,0
28973472,0.9862237122828406,0.9875038098140811,0.9862237122828406,0.987290460225541,399313.0,28973472,129339.56926,606,341297.0,110555.06797,0
28973473,0.987290460225541,0.9879000304785126,0.9871075891496495,0.9875038098140811,363392.0,28973473,117749.00873,504,178618.0,57873.82624,0
28973474,0.9875038098140811,0.9883267296555928,0.9875038098140811,0.9882962511429442,599300.0,28973474,194219.12642,571,413593.0,134040.49909,0
28973475,0.9883267296555928,0.9894239561109417,0.9881438585797013,0.9883267296555928,1174873.0,28973475,381179.02038,1570,914585.0,296763.25131,0
28973476,0.9882962511429442,0.9894239561109417,0.9882048156049985,0.9892715635476989,1057606.0,28973476,343191.74794,1085,896249.0,290835.98922,0
28973477,0.9892106065224018,0.9896373056994818,0.9890277354465102,0.9896373056994818,837957.0,28973477,271981.96047,845,611130.0,198358.86095,0
